Restaurant,Date,Weekday,Number of customers,Customer biowaste (kg),"Other biowaste, kitchen (kg)","Other biowaste, sali (kg)",Comments,"Other waste, total (kg)",Total waste (kg)
UniCafe Chemicum,01.08.2017,tue,453,23.5,12.3,15,,16.2,39.7
UniCafe Chemicum,02.08.2017,wed,453,20.5,12.3,18,,19.6,40.1
UniCafe Chemicum,03.08.2017,thu,504,17.5,12.3,15,,16.4,33.9
UniCafe Chemicum,04.08.2017,fri,434,16,12.3,32,,33.6,49.6
UniCafe Chemicum,07.08.2017,mon,561,15,12.3,20,,21.8,36.8
UniCafe Chemicum,08.08.2017,tue,576,13.55,12.3,21,,30.4,43.95
UniCafe Chemicum,09.08.2017,wed,533,5.8,12.3,31,,32.2,38
UniCafe Chemicum,10.08.2017,thu,584,8.1,12.3,49,,50.55,58.65
UniCafe Chemicum,11.08.2017,fri,519,12,12.3,41,,47.6,59.6
UniCafe Chemicum,14.08.2017,mon,587,9,12.3,15.3,,27.2,36.2
UniCafe Chemicum,15.08.2017,tue,587,9.1,12.3,16.7,,20.4,29.5
UniCafe Chemicum,16.08.2017,wed,589,12.7,12.3,25,,28.9,41.6
UniCafe Chemicum,17.08.2017,thu,577,16.3,12.3,15,,17.8,34.1
UniCafe Chemicum,18.08.2017,fri,518,8.2,12.3,15.1,,17.9,26.1
UniCafe Chemicum,21.08.2017,mon,624,12.65,12.3,36.2,,50.3,62.95
UniCafe Chemicum,22.08.2017,tue,701,16.7,12.3,23,,27.6,44.3
UniCafe Chemicum,23.08.2017,wed,665,12.4,12.3,22,,26.7,39.1
UniCafe Chemicum,24.08.2017,thu,550,6.75,12.3,19.55,,24.75,31.5
UniCafe Chemicum,25.08.2017,fri,470,8.5,12.3,37.8,,42.5,51
UniCafe Chemicum,28.08.2017,mon,651,17,12.3,27.1,,40.9,57.9
UniCafe Chemicum,29.08.2017,tue,792,11.6,12.3,44.3,,49.5,61.1
UniCafe Chemicum,30.08.2017,wed,599,19,12.3,26,,28.35,47.35
UniCafe Chemicum,31.08.2017,thu,705,10.5,12.3,31,,34.6,45.1
UniCafe Chemicum,01.09.2017,fri,576,38,12.3,49,,56,94
UniCafe Chemicum,04.09.2017,mon,837,25.3,12.3,47.4,,54.4,79.7
UniCafe Chemicum,05.09.2017,tue,860,28,12.3,45,,60.4,88.4
UniCafe Chemicum,06.09.2017,wed,981,30,12.3,53,,60.8,90.8
UniCafe Chemicum,07.09.2017,thu,963,40,12.3,27,,35.3,75.3
UniCafe Chemicum,08.09.2017,fri,662,25,12.3,46.8,,52.9,77.9
UniCafe Chemicum,11.09.2017,mon,926,22,12.3,33,,45.8,67.8
UniCafe Chemicum,12.09.2017,tue,912,30,12.3,54,,58.2,88.2
UniCafe Chemicum,13.09.2017,wed,921,85,12.3,34.5,,38.15,123.15
UniCafe Chemicum,14.09.2017,thu,940,52,12.3,21,,24.2,76.2
UniCafe Chemicum,15.09.2017,fri,744,40,12.3,19,,22.8,62.8
UniCafe Chemicum,18.09.2017,mon,1002,50,12.3,32,,46.6,96.6
UniCafe Chemicum,19.09.2017,tue,976,38,12.3,43,,49.1,87.1
UniCafe Chemicum,20.09.2017,wed,938,29.05,12.3,65,,68.2,97.25
UniCafe Chemicum,21.09.2017,thu,945,30,12.3,49,,50.2,80.2
UniCafe Chemicum,22.09.2017,fri,699,20,12.3,35,,40,60
UniCafe Chemicum,25.09.2017,mon,948,40,12.3,19,,30.8,70.8
UniCafe Chemicum,26.09.2017,tue,934,39,12.3,32,,34.95,73.95
UniCafe Chemicum,27.09.2017,wed,936,40,12.3,29.65,,33.25,73.25
UniCafe Chemicum,28.09.2017,thu,991,50,12.3,45,,48.9,98.9
UniCafe Chemicum,29.09.2017,fri,655,30,12.3,53,,56.6,86.6
UniCafe Chemicum,02.10.2017,mon,1025,42,12.3,38.04,,49.94,91.94
UniCafe Chemicum,03.10.2017,tue,795,40,12.3,33.06,,37.86,77.86
UniCafe Chemicum,04.10.2017,wed,891,34,12.3,42,,47.2,81.2
UniCafe Chemicum,05.10.2017,thu,873,33,12.3,38,,41.8,74.8
UniCafe Chemicum,06.10.2017,fri,634,33,12.3,48,,50.8,83.8
UniCafe Chemicum,09.10.2017,mon,879,20,12.3,52,,64.4,84.4
UniCafe Chemicum,10.10.2017,tue,941,30,12.3,23,,26.2,56.2
UniCafe Chemicum,11.10.2017,wed,844,34.01,12.3,14.9,,17.5,51.51
UniCafe Chemicum,12.10.2017,thu,944,43.01,12.3,15,,18.3,61.31
UniCafe Chemicum,13.10.2017,fri,800,28,12.3,64,,67.2,95.2
UniCafe Chemicum,16.10.2017,mon,787,30,12.3,32,,45,75
UniCafe Chemicum,17.10.2017,tue,891,35.07,12.3,20,,26.2,61.27
UniCafe Chemicum,18.10.2017,wed,840,30.8,12.3,23.6,,30.1,60.9
UniCafe Chemicum,19.10.2017,thu,826,30,12.3,20,,26.5,56.5
UniCafe Chemicum,20.10.2017,fri,581,20,12.3,16,,21.1,41.1
UniCafe Chemicum,23.10.2017,mon,803,25,12.3,33,,44.2,69.2
UniCafe Chemicum,24.10.2017,tue,750,20,12.3,20,,24.8,44.8
UniCafe Chemicum,25.10.2017,wed,789,23,12.3,41,,44.2,67.2
UniCafe Chemicum,26.10.2017,thu,639,65,12.3,53,,57.6,122.6
UniCafe Chemicum,27.10.2017,fri,519,42,12.3,26,,29.3,71.3
UniCafe Chemicum,30.10.2017,mon,873,27,12.3,27,,39.3,66.3
UniCafe Chemicum,31.10.2017,tue,878,40,12.3,11,,15.3,55.3
UniCafe Chemicum,01.11.2017,wed,864,40,12.3,24,,30,70
UniCafe Chemicum,02.11.2017,thu,892,41,12.3,22.6,,29.6,70.6
UniCafe Chemicum,03.11.2017,fri,705,36,12.3,20.9,,29.9,65.9
UniCafe Chemicum,06.11.2017,mon,816,20,12.3,6,,16.8,36.8
UniCafe Chemicum,07.11.2017,tue,949,20,12.3,20,,23.2,43.2
UniCafe Chemicum,08.11.2017,wed,939,68,12.3,30,,34.6,102.6
UniCafe Chemicum,09.11.2017,thu,1054,50,12.3,35,,39.9,89.9
UniCafe Chemicum,10.11.2017,fri,723,42,12.3,28,,31.2,73.2
UniCafe Chemicum,13.11.2017,mon,989,30,12.3,15,,26.8,56.8
UniCafe Chemicum,14.11.2017,tue,891,40,12.3,6,,9.2,49.2
UniCafe Chemicum,15.11.2017,wed,869,45,12.3,26,,28.9,73.9
UniCafe Chemicum,16.11.2017,thu,854,42,12.3,35,,38.6,80.6
UniCafe Chemicum,17.11.2017,fri,665,30,12.3,28,,32.95,62.95
UniCafe Chemicum,20.11.2017,mon,982,32,12.3,22,,33.9,65.9
UniCafe Chemicum,21.11.2017,tue,867,30,12.3,30,,33.6,63.6
UniCafe Chemicum,22.11.2017,wed,917,30,12.3,33,,36.2,66.2
UniCafe Chemicum,23.11.2017,thu,917,35,12.3,15,,19.3,54.3
UniCafe Chemicum,24.11.2017,fri,683,33,12.3,28,,30.8,63.8
UniCafe Chemicum,27.11.2017,mon,812,40,12.3,7,,19.5,59.5
UniCafe Chemicum,28.11.2017,tue,910,45,12.3,10,,13.4,58.4
UniCafe Chemicum,29.11.2017,wed,702,40,12.3,15,,18.8,58.8
UniCafe Chemicum,30.11.2017,thu,863,44,12.3,15,,18.4,62.4
UniCafe Chemicum,01.12.2017,fri,648,40,12.3,16,,20.6,60.6
UniCafe Chemicum,04.12.2017,mon,805,38,12.3,28,,39.7,77.7
UniCafe Chemicum,05.12.2017,tue,811,43,12.3,20,,23,66
UniCafe Chemicum,07.12.2017,thu,770,34,12.3,20,,22.6,56.6
UniCafe Chemicum,08.12.2017,fri,743,40,12.3,28,,32.2,72.2
UniCafe Chemicum,11.12.2017,mon,761,35,12.3,54,,66.8,101.8
UniCafe Chemicum,12.12.2017,tue,816,40,12.3,52,,55.2,95.2
UniCafe Chemicum,13.12.2017,wed,715,43,12.3,10,,12.9,55.9
UniCafe Chemicum,14.12.2017,thu,760,34,12.3,30,,32.6,66.6
UniCafe Chemicum,15.12.2017,fri,679,32,12.3,30,,33.2,65.2
UniCafe Chemicum,18.12.2017,mon,696,22,12.3,28,,40.8,62.8
UniCafe Chemicum,19.12.2017,tue,478,50,12.3,30,,32.7,82.7
UniCafe Chemicum,20.12.2017,wed,485,15,12.3,32,,35.2,50.2
UniCafe Chemicum,09.01.2018,tue,462,14,12.3,18,,23.01,37.01
UniCafe Chemicum,10.01.2018,wed,551,35,12.3,13,,15.8,50.8
UniCafe Chemicum,11.01.2018,thu,600,20,12.3,13,,15.8,35.8
UniCafe Chemicum,12.01.2018,fri,498,20,12.3,9,,11.9,31.9
UniCafe Chemicum,15.01.2018,mon,875,26,12.3,15,,26.9,52.9
UniCafe Chemicum,16.01.2018,tue,799,27.8,12.3,17,,19.6,47.4
UniCafe Chemicum,17.01.2018,wed,810,37,12.3,25,,27.7,64.7
UniCafe Chemicum,18.01.2018,thu,811,40,12.3,18,,21.1,61.1
UniCafe Chemicum,19.01.2018,fri,636,20,12.3,30,,32.5,52.5
UniCafe Chemicum,22.01.2018,mon,785,23,12.3,23,,25.9,48.9
UniCafe Chemicum,23.01.2018,tue,814,50,12.3,26,,28.6,78.6
UniCafe Chemicum,24.01.2018,wed,810,35,12.3,28,,31.2,66.2
UniCafe Chemicum,25.01.2018,thu,784,29,12.3,40,,43.4,72.4
UniCafe Chemicum,26.01.2018,fri,694,28,5,9,,18.2,46.2
UniCafe Chemicum,29.01.2018,mon,786,25,6,16,,33.7,58.7
UniCafe Chemicum,30.01.2018,tue,784,27,8,13,"melon, egg packages",23.5,50.5
UniCafe Chemicum,31.01.2018,wed,852,35,8,6,melon,16.9,51.9
UniCafe Chemicum,01.02.2018,thu,690,33,4,14,,21.4,54.4
UniCafe Chemicum,02.02.2018,fri,437,15,10,20,,34.5,49.5
UniCafe Chemicum,05.02.2018,mon,791,22,6,15,,33.6,55.6
UniCafe Chemicum,06.02.2018,tue,728,52,14,15,chicken leg,31.8,83.8
UniCafe Chemicum,07.02.2018,wed,833,55,4,22,chicken leg,28.7,83.7
UniCafe Chemicum,08.02.2018,thu,788,50,5,10,watermelon,18.5,68.5
UniCafe Chemicum,09.02.2018,fri,653,40,8,30,,41.5,81.5
UniCafe Chemicum,12.02.2018,mon,804,37,6,11,,27.9,64.9
UniCafe Chemicum,13.02.2018,tue,794,40,8,11,,23.5,63.5
UniCafe Chemicum,14.02.2018,wed,762,47,6,25,,33.9,80.9
UniCafe Chemicum,15.02.2018,thu,815,30,4,4,,11.1,41.1
UniCafe Chemicum,16.02.2018,fri,662,44,5,6,,13.8,57.8
UniCafe Chemicum,19.02.2018,mon,804,38,5,12,,28.7,66.7
UniCafe Chemicum,20.02.2018,tue,758,30,5,15,,24,54
UniCafe Chemicum,21.02.2018,wed,756,75,8,10,chicken leg,20,95
UniCafe Chemicum,22.02.2018,thu,830,40,8,20,chicken leg,30,70
UniCafe Chemicum,23.02.2018,fri,569,40,8,20,,30,70
UniCafe Chemicum,26.02.2018,mon,752,26,6,17,,34.7,60.7
UniCafe Chemicum,27.02.2018,tue,790,76,4,20,chicken leg,27.9,103.9
UniCafe Chemicum,28.02.2018,wed,263,14,4,16,,22,36
UniCafe Chemicum,01.03.2018,thu,842,38,6,20,,29.8,67.8
UniCafe Chemicum,02.03.2018,fri,622,30,5,19,,27.2,57.2
UniCafe Chemicum,05.03.2018,mon,633,20,15,20,,40.8,60.8
UniCafe Chemicum,06.03.2018,tue,721,20,3.3,4.9,,10.7,30.7
UniCafe Chemicum,07.03.2018,wed,687,37,9,12,,23.3,60.3
UniCafe Chemicum,08.03.2018,thu,652,20,3,10,,15.7,35.7
UniCafe Chemicum,09.03.2018,fri,567,20,7,20,,29.9,49.9
UniCafe Chemicum,12.03.2018,mon,780,34,5,21,,36.5,70.5
UniCafe Chemicum,13.03.2018,tue,734,40,3,10,,15.7,55.7
UniCafe Chemicum,14.03.2018,wed,693,44,5,10,melon,17.4,61.4
UniCafe Chemicum,15.03.2018,thu,757,40,5,15,,23.2,63.2
UniCafe Chemicum,16.03.2018,fri,630,71,10,12,chicken leg,22,93
UniCafe Chemicum,19.03.2018,mon,806,37,8,12,,32.1,69.1
UniCafe Chemicum,20.03.2018,tue,892,45,10,18,melon,30.9,75.9
UniCafe Chemicum,21.03.2018,wed,823,24,7,8,banana peel,18.2,42.2
UniCafe Chemicum,22.03.2018,thu,768,41,6,6,melon,15.1,56.1
UniCafe Chemicum,23.03.2018,fri,631,31,9,11,,23.4,54.4
UniCafe Chemicum,26.03.2018,mon,796,30,10,20,egg packages,45.8,75.8
UniCafe Chemicum,27.03.2018,tue,808,40,15,15,,32.7,72.7
UniCafe Chemicum,28.03.2018,wed,721,40,11,16,,33.4,73.4
UniCafe Chemicum,29.03.2018,thu,506,49,8,24,,34.5,83.5
UniCafe Chemicum,03.04.2018,tue,506,8,3,7,,20.3,28.3
UniCafe Chemicum,04.04.2018,wed,622,35,40,20,melon,63.5,98.5
UniCafe Chemicum,05.04.2018,thu,728,24,8,12,,22.9,46.9
UniCafe Chemicum,06.04.2018,fri,614,31,5,20,,28.2,59.2
UniCafe Chemicum,09.04.2018,mon,797,28,9,10,,49,77
UniCafe Chemicum,10.04.2018,tue,795,38,20,15,,38.2,76.2
UniCafe Chemicum,11.04.2018,wed,832,62,10,26,chicken leg,39.4,101.4
UniCafe Chemicum,12.04.2018,thu,893,47,7,16,,25.5,72.5
UniCafe Chemicum,13.04.2018,fri,655,51,4,20,,29.6,80.6
UniCafe Chemicum,16.04.2018,mon,732,18,8,21,,40.3,58.3
UniCafe Chemicum,17.04.2018,tue,835,50,6,19,chicken leg,27.4,77.4
UniCafe Chemicum,18.04.2018,wed,830,40,6,8,melon,17.8,57.8
UniCafe Chemicum,19.04.2018,thu,789,48,10,22,,34.5,82.5
UniCafe Chemicum,20.04.2018,fri,624,48,6,45,broken fridge,53.6,101.6
UniCafe Chemicum,23.04.2018,mon,772,40,8,25,,44.9,84.9
UniCafe Chemicum,24.04.2018,tue,893,52,7,12,,22.5,74.5
UniCafe Chemicum,25.04.2018,wed,844,40,9,19,,30.7,70.7
UniCafe Chemicum,26.04.2018,thu,747,44,6,20,,29.4,73.4
UniCafe Chemicum,27.04.2018,fri,722,46,6,45,,53.6,99.6
UniCafe Chemicum,30.04.2018,mon,510,65,9,10,chicken leg,22.4,87.4
UniCafe Chemicum,02.05.2018,wed,754,40,6,26,melon,34.9,74.9
UniCafe Chemicum,03.05.2018,thu,810,44,9,14,chicken leg,26.4,70.4
UniCafe Chemicum,04.05.2018,fri,705,40,5,15,,22.7,62.7
UniCafe Chemicum,07.05.2018,mon,803,44,38,29,broken fridge,70.3,114.3
UniCafe Chemicum,08.05.2018,tue,766,38,6,11,,21.1,59.1
UniCafe Chemicum,09.05.2018,wed,707,46,5,20,,28.7,74.7
UniCafe Chemicum,11.05.2018,fri,596,30,2,5,,8.5,38.5
UniCafe Chemicum,14.05.2018,mon,700,29,2,6,,8,37
UniCafe Chemicum,15.05.2018,tue,614,28,6,46,,54.5,82.5
UniCafe Chemicum,16.05.2018,wed,579,15,6,45,,54.9,69.9
UniCafe Chemicum,17.05.2018,thu,655,40,11,14,,28.8,68.8
UniCafe Chemicum,18.05.2018,fri,559,20,10,15,,27.6,47.6
UniCafe Chemicum,21.05.2018,mon,587,36,3,24,,38,74
UniCafe Chemicum,22.05.2018,tue,638,77,7,18.5,"chicken leg, watermelon",30.5,107.5
UniCafe Chemicum,23.05.2018,wed,574,34,9,25,chicken leg,39.4,73.4
UniCafe Chemicum,24.05.2018,thu,572,45,8,28,,41,86
UniCafe Chemicum,25.05.2018,fri,448,37,12,34,egg packages,51,88
UniCafe Chemicum,28.05.2018,mon,731,30,5,2.8,,11,41
UniCafe Chemicum,29.05.2018,tue,633,28,2,15,watermelon,20.2,48.2
UniCafe Chemicum,30.05.2018,wed,684,31,2,15,,22,53
UniCafe Chemicum,31.05.2018,thu,660,28,5,30,,38.2,66.2
UniCafe Chemicum,01.06.2018,fri,635,29,6,10,,24.4,53.4
UniCafe Chemicum,04.06.2018,mon,868,43,8,18,chicken leg,33.6,76.6
UniCafe Chemicum,05.06.2018,tue,811,39,6,25,,43.9,82.9
UniCafe Chemicum,06.06.2018,wed,758,39,5,1,,12.2,51.2
UniCafe Chemicum,07.06.2018,thu,756,28,5,27,,37.2,65.2
UniCafe Chemicum,08.06.2018,fri,665,21,17,16,,37.6,58.6
UniCafe Chemicum,11.06.2018,mon,825,68,10,19,,39.4,107.4
UniCafe Chemicum,12.06.2018,tue,810,40,12,55,,71.5,111.5
UniCafe Chemicum,13.06.2018,wed,784,46,10,16,watermelon,30.2,76.2
UniCafe Chemicum,14.06.2018,thu,781,63,7,9,chicken leg,21.9,84.9
UniCafe Chemicum,15.06.2018,fri,724,16,12,22,chicken leg,37.2,53.2
UniCafe Chemicum,06.08.2018,mon,480,9,9,16,,25,34
UniCafe Chemicum,07.08.2018,tue,500,11,12,10,,22,33
UniCafe Chemicum,08.08.2018,wed,481,16,12,22.5,watermelon,39.5,55.5
UniCafe Chemicum,09.08.2018,thu,322,38,20,24,watermelon,44,82
UniCafe Chemicum,10.08.2018,fri,432,12,22,0,,32,44
UniCafe Chemicum,13.08.2018,mon,562,15,8,19.3,,27.3,42.3
UniCafe Chemicum,14.08.2018,tue,585,21.5,7.3,0,,12.3,33.8
UniCafe Chemicum,15.08.2018,wed,633,12,25,0,,25,37
UniCafe Chemicum,16.08.2018,thu,563,13,22,0,,22,35
UniCafe Chemicum,17.08.2018,fri,521,10,12,23,,35,45
UniCafe Chemicum,20.08.2018,mon,516,11,30,13.3,,46,57
UniCafe Chemicum,21.08.2018,tue,527,12,12,21.1,,35.6,47.6
UniCafe Chemicum,22.08.2018,wed,432,6,6,17.5,,26.6,32.6
UniCafe Chemicum,23.08.2018,thu,586,16.9,16.2,0,,24.8,41.7
UniCafe Chemicum,24.08.2018,fri,450,4.7,35,0,,38.5,43.2
UniCafe Chemicum,27.08.2018,mon,676,12.8,27.1,0,,36.8,49.6
UniCafe Chemicum,28.08.2018,tue,893,18.5,40.7,9,,53.9,72.4
UniCafe Chemicum,29.08.2018,wed,619,17.7,42.4,0,watermelon,45.6,63.3
UniCafe Chemicum,30.08.2018,thu,857,24.2,20.4,0,,25.6,49.8
UniCafe Chemicum,31.08.2018,fri,615,9.1,22,0,,28.1,37.2
UniCafe Chemicum,03.09.2018,mon,800,11.8,37.4,0,,49.1,60.9
UniCafe Chemicum,04.09.2018,tue,1061,20.3,68.1,0,,73.7,94
UniCafe Chemicum,05.09.2018,wed,955,22.3,39,4.3,,43.3,65.6
UniCafe Chemicum,06.09.2018,thu,1165,21.1,44.3,0,,51.9,73
UniCafe Chemicum,07.09.2018,fri,816,10.7,51.4,0,,66.4,77.1
UniCafe Chemicum,10.09.2018,mon,1084,21.4,34,0,,39,60.4
UniCafe Chemicum,11.09.2018,tue,1098,28.4,33.4,0,,39.7,68.1
UniCafe Chemicum,12.09.2018,wed,1117,26.8,15.6,0,,22.6,49.4
UniCafe Chemicum,13.09.2018,thu,1048,19.4,28.7,0,,34.7,54.1
UniCafe Chemicum,14.09.2018,fri,737,10.4,20.75,0,,40.75,51.15
UniCafe Chemicum,17.09.2018,mon,1031,20,18.7,0,,22.1,42.1
UniCafe Chemicum,18.09.2018,tue,1061,23.5,35.4,0,,39.7,63.2
