Area,study,Date,Year,Month,Week Number,Date,Day of Week,Hour,Extremely Negative,Extremely Negative %,Negative,Negative %,Positive,Positive %,Extremely Positive,Extremely Positive %,Total,Index,Net Promoter Score(tm),Red %,Green %
Area,How well did we succeed today,12/09/2016,2016,September,37,12,monday,-,9,3.2,19,6.76,102,36.3,151,53.74,281,80,44,9.96,90.04
Area,How well did we succeed today,13/09/2016,2016,September,37,13,tuesday,-,14,4.33,26,8.05,113,34.98,170,52.63,323,79,40,12.38,87.62
Area,How well did we succeed today,14/09/2016,2016,September,37,14,wednesday,-,11,3.44,11,3.44,112,35,186,58.13,320,83,51,6.88,93.13
Area,How well did we succeed today,15/09/2016,2016,September,37,15,thursday,-,22,6.13,31,8.64,129,35.93,177,49.3,359,76,35,14.76,85.24
Area,How well did we succeed today,16/09/2016,2016,September,37,16,friday,-,12,3.29,19,5.21,117,32.05,217,59.45,365,83,51,8.49,91.51
Area,How well did we succeed today,19/09/2016,2016,September,38,19,monday,-,12,2.86,24,5.73,171,40.81,212,50.6,419,80,42,8.59,91.41
Area,How well did we succeed today,20/09/2016,2016,September,38,20,tuesday,-,7,1.75,23,5.74,147,36.66,224,55.86,401,82,48,7.48,92.52
Area,How well did we succeed today,21/09/2016,2016,September,38,21,wednesday,-,9,2.34,18,4.68,128,33.25,230,59.74,385,83,53,7.01,92.99
Area,How well did we succeed today,22/09/2016,2016,September,38,22,thursday,-,18,3.8,22,4.64,160,33.76,274,57.81,474,82,49,8.44,91.56
Area,How well did we succeed today,23/09/2016,2016,September,38,23,friday,-,9,2.49,15,4.14,123,33.98,215,59.39,362,83,53,6.63,93.37
Area,How well did we succeed today,26/09/2016,2016,September,39,26,monday,-,19,4.42,35,8.14,154,35.81,222,51.63,430,78,39,12.56,87.44
Area,How well did we succeed today,27/09/2016,2016,September,39,27,tuesday,-,13,2.98,31,7.11,140,32.11,252,57.8,436,82,48,10.09,89.91
Area,How well did we succeed today,28/09/2016,2016,September,39,28,wednesday,-,11,1.99,38,6.88,194,35.14,309,55.98,552,82,47,8.88,91.12
Area,How well did we succeed today,29/09/2016,2016,September,39,29,thursday,-,18,3.28,31,5.66,194,35.4,305,55.66,548,81,47,8.94,91.06
Area,How well did we succeed today,30/09/2016,2016,September,39,30,friday,-,10,2,16,3.2,149,29.8,325,65,500,86,60,5.2,94.8
Area,How well did we succeed today,03/10/2016,2016,October,40,03,monday,-,13,2.49,38,7.28,196,37.55,275,52.68,522,80,43,9.77,90.23
Area,How well did we succeed today,04/10/2016,2016,October,40,04,tuesday,-,20,3.53,48,8.47,202,35.63,297,52.38,567,79,40,11.99,88.01
Area,How well did we succeed today,05/10/2016,2016,October,40,05,wednesday,-,16,2.73,38,6.48,211,36.01,321,54.78,586,81,46,9.22,90.78
Area,How well did we succeed today,06/10/2016,2016,October,40,06,thursday,-,29,5.23,37,6.67,183,32.97,306,55.14,555,79,43,11.89,88.11
Area,How well did we succeed today,07/10/2016,2016,October,40,07,friday,-,14,2.84,24,4.87,176,35.7,279,56.59,493,82,49,7.71,92.29
Area,How well did we succeed today,10/10/2016,2016,October,41,10,monday,-,19,3.22,29,4.92,205,34.75,337,57.12,590,82,49,8.14,91.86
Area,How well did we succeed today,11/10/2016,2016,October,41,11,tuesday,-,19,3.07,40,6.47,233,37.7,326,52.75,618,80,43,9.55,90.45
Area,How well did we succeed today,12/10/2016,2016,October,41,12,wednesday,-,24,3.91,38,6.19,216,35.18,336,54.72,614,80,45,10.1,89.9
Area,How well did we succeed today,13/10/2016,2016,October,41,13,thursday,-,17,2.88,43,7.29,213,36.1,317,53.73,590,80,44,10.17,89.83
Area,How well did we succeed today,14/10/2016,2016,October,41,14,friday,-,11,2.08,28,5.29,172,32.51,318,60.11,529,84,53,7.37,92.63
Area,How well did we succeed today,17/10/2016,2016,October,42,17,monday,-,16,2.91,45,8.18,200,36.36,289,52.55,550,80,41,11.09,88.91
Area,How well did we succeed today,18/10/2016,2016,October,42,18,tuesday,-,17,2.68,42,6.61,226,35.59,350,55.12,635,81,46,9.29,90.71
Area,How well did we succeed today,19/10/2016,2016,October,42,19,wednesday,-,17,2.81,62,10.23,224,36.96,303,50,606,78,37,13.04,86.96
Area,How well did we succeed today,20/10/2016,2016,October,42,20,thursday,-,22,3.58,45,7.33,230,37.46,317,51.63,614,79,41,10.91,89.09
Area,How well did we succeed today,21/10/2016,2016,October,42,21,friday,-,11,2.39,25,5.42,138,29.93,287,62.26,461,84,54,7.81,92.19
Area,How well did we succeed today,24/10/2016,2016,October,43,24,monday,-,14,3.37,30,7.23,154,37.11,217,52.29,415,79,42,10.6,89.4
Area,How well did we succeed today,25/10/2016,2016,October,43,25,tuesday,-,6,1.64,20,5.48,141,38.63,198,54.25,365,82,47,7.12,92.88
Area,How well did we succeed today,26/10/2016,2016,October,43,26,wednesday,-,13,2.72,38,7.95,176,36.82,251,52.51,478,80,42,10.67,89.33
Area,How well did we succeed today,27/10/2016,2016,October,43,27,thursday,-,20,3.86,37,7.14,178,34.36,283,54.63,518,80,44,11,89
Area,How well did we succeed today,28/10/2016,2016,October,43,28,friday,-,10,2.16,39,8.41,141,30.39,274,59.05,464,82,48,10.56,89.44
Area,How well did we succeed today,31/10/2016,2016,October,44,31,monday,-,16,2.73,54,9.22,224,38.23,292,49.83,586,78,38,11.95,88.05
Area,How well did we succeed today,01/11/2016,2016,November,44,01,tuesday,-,15,2.37,38,6.01,215,34.02,364,57.59,632,82,49,8.39,91.61
Area,How well did we succeed today,02/11/2016,2016,November,44,02,wednesday,-,18,2.55,41,5.82,253,35.89,393,55.74,705,82,47,8.37,91.63
Area,How well did we succeed today,03/11/2016,2016,November,44,03,thursday,-,17,2.52,39,5.79,226,33.53,392,58.16,674,82,50,8.31,91.69
Area,How well did we succeed today,04/11/2016,2016,November,44,04,friday,-,17,2.9,45,7.68,191,32.59,333,56.83,586,81,46,10.58,89.42
Area,How well did we succeed today,07/11/2016,2016,November,45,07,monday,-,18,3.01,52,8.68,233,38.9,296,49.42,599,78,38,11.69,88.31
Area,How well did we succeed today,08/11/2016,2016,November,45,08,tuesday,-,27,4.21,39,6.08,237,36.97,338,52.73,641,79,42,10.3,89.7
Area,How well did we succeed today,09/11/2016,2016,November,45,09,wednesday,-,12,1.92,32,5.13,234,37.5,346,55.45,624,82,48,7.05,92.95
Area,How well did we succeed today,10/11/2016,2016,November,45,10,thursday,-,21,3.23,37,5.68,230,35.33,363,55.76,651,81,47,8.91,91.09
Area,How well did we succeed today,11/11/2016,2016,November,45,11,friday,-,11,1.94,27,4.76,179,31.57,350,61.73,567,84,55,6.7,93.3
Area,How well did we succeed today,14/11/2016,2016,November,46,14,monday,-,16,2.44,42,6.4,263,40.09,335,51.07,656,80,42,8.84,91.16
Area,How well did we succeed today,15/11/2016,2016,November,46,15,tuesday,-,16,2.33,36,5.25,255,37.17,379,55.25,686,82,48,7.58,92.42
Area,How well did we succeed today,16/11/2016,2016,November,46,16,wednesday,-,19,2.69,52,7.37,255,36.12,380,53.82,706,80,44,10.06,89.94
Area,How well did we succeed today,17/11/2016,2016,November,46,17,thursday,-,18,2.7,50,7.5,253,37.93,346,51.87,667,80,42,10.19,89.81
Area,How well did we succeed today,18/11/2016,2016,November,46,18,friday,-,13,2.15,31,5.12,218,36.03,343,56.69,605,82,49,7.27,92.73
Area,How well did we succeed today,21/11/2016,2016,November,47,21,monday,-,18,2.85,49,7.77,249,39.46,315,49.92,631,79,39,10.62,89.38
Area,How well did we succeed today,22/11/2016,2016,November,47,22,tuesday,-,17,2.56,42,6.33,241,36.35,363,54.75,663,81,46,8.9,91.1
Area,How well did we succeed today,23/11/2016,2016,November,47,23,wednesday,-,20,3.03,44,6.67,245,37.12,351,53.18,660,80,43,9.7,90.3
Area,How well did we succeed today,24/11/2016,2016,November,47,24,thursday,-,27,4.45,44,7.25,188,30.97,348,57.33,607,80,46,11.7,88.3
Area,How well did we succeed today,25/11/2016,2016,November,47,25,friday,-,19,3.2,35,5.9,196,33.05,343,57.84,593,82,49,9.11,90.89
Area,How well did we succeed today,28/11/2016,2016,November,48,28,monday,-,13,2.03,37,5.79,274,42.88,315,49.3,639,80,41,7.82,92.18
Area,How well did we succeed today,29/11/2016,2016,November,48,29,tuesday,-,20,2.98,49,7.3,203,30.25,399,59.46,671,82,49,10.28,89.72
Area,How well did we succeed today,30/11/2016,2016,November,48,30,wednesday,-,20,3.17,27,4.28,226,35.82,358,56.74,631,82,49,7.45,92.55
Area,How well did we succeed today,01/12/2016,2016,December,48,01,thursday,-,7,1.22,36,6.29,186,32.52,343,59.97,572,84,52,7.52,92.48
Area,How well did we succeed today,02/12/2016,2016,December,48,02,friday,-,10,1.92,28,5.38,171,32.88,311,59.81,520,84,53,7.31,92.69
Area,How well did we succeed today,05/12/2016,2016,December,49,05,monday,-,43,9.29,50,10.8,176,38.01,194,41.9,463,71,22,20.09,79.91
Area,How well did we succeed today,07/12/2016,2016,December,49,07,wednesday,-,17,2.68,52,8.2,266,41.96,299,47.16,634,78,36,10.88,89.12
Area,How well did we succeed today,08/12/2016,2016,December,49,08,thursday,-,23,3.51,66,10.08,240,36.64,326,49.77,655,78,36,13.59,86.41
Area,How well did we succeed today,09/12/2016,2016,December,49,09,friday,-,27,4.72,48,8.39,222,38.81,275,48.08,572,77,35,13.11,86.89
Area,How well did we succeed today,12/12/2016,2016,December,50,12,monday,-,10,1.76,40,7.03,237,41.65,282,49.56,569,80,41,8.79,91.21
