Restaurant,Date,Weekday,Number of customers,Customer biowaste (kg),"Other biowaste, kitchen (kg)","Other biowaste, sali (kg)",Comments,"Other waste, total (kg)",Total waste (kg)
UniCafe Exactum,28.08.2017,mon,229,2.5,13.52,0.03,,0.03,2.53
UniCafe Exactum,29.08.2017,tue,405,3,13.52,13,,13,16
UniCafe Exactum,04.09.2017,mon,368,5.6,13.52,15,,15,20.6
UniCafe Exactum,05.09.2017,tue,515,23,13.52,10,,10,33
UniCafe Exactum,06.09.2017,wed,414,6.7,13.52,12,,12,18.7
UniCafe Exactum,07.09.2017,thu,556,8.3,13.52,22,,22,30.3
UniCafe Exactum,08.09.2017,fri,464,4.7,13.52,39,,39,43.7
UniCafe Exactum,11.09.2017,mon,551,7.7,13.52,25,,25,32.7
UniCafe Exactum,12.09.2017,tue,539,9.3,13.52,30,,30,39.3
UniCafe Exactum,13.09.2017,wed,545,11,13.52,18,,18,29
UniCafe Exactum,14.09.2017,thu,513,11,13.52,35,,35,46
UniCafe Exactum,15.09.2017,fri,404,6,13.52,34,,46,52
UniCafe Exactum,18.09.2017,mon,437,10,13.52,21,,27,37
UniCafe Exactum,19.09.2017,tue,442,6,13.52,25,,25,31
UniCafe Exactum,20.09.2017,wed,425,7,13.52,32,,37,44
UniCafe Exactum,21.09.2017,thu,438,9,13.52,24,,24,33
UniCafe Exactum,22.09.2017,fri,426,4,13.52,37,,42.03,46.03
UniCafe Exactum,25.09.2017,mon,449,10,13.52,20,,25.5,35.5
UniCafe Exactum,26.09.2017,tue,489,11,13.52,17,,17,28
UniCafe Exactum,27.09.2017,wed,482,11,13.52,10,,10,21
UniCafe Exactum,28.09.2017,thu,473,32,13.52,6,,13,45
UniCafe Exactum,29.09.2017,fri,437,5,13.52,27,,29,34
UniCafe Exactum,02.10.2017,mon,403,6,13.52,22,,27.5,33.5
UniCafe Exactum,03.10.2017,tue,501,10,13.52,19,,23,33
UniCafe Exactum,04.10.2017,wed,450,9,13.52,18,,27,36
UniCafe Exactum,05.10.2017,thu,304,9,13.52,33,,33,42
UniCafe Exactum,06.10.2017,fri,459,4.08,13.52,30,,36,40.08
UniCafe Exactum,09.10.2017,mon,432,6.06,13.52,35,,41,47.06
UniCafe Exactum,10.10.2017,tue,445,6,13.52,28,,28,34
UniCafe Exactum,11.10.2017,wed,493,34,13.52,19,,19,53
UniCafe Exactum,12.10.2017,thu,433,5,13.52,17,,26,31
UniCafe Exactum,13.10.2017,fri,431,3.7,13.52,20,,20,23.7
UniCafe Exactum,16.10.2017,mon,487,9.8,13.52,15.09,,20.17,29.97
UniCafe Exactum,17.10.2017,tue,465,7.6,13.52,30,,37,44.6
UniCafe Exactum,18.10.2017,wed,479,5.4,13.52,14.05,,14.05,19.45
UniCafe Exactum,19.10.2017,thu,446,5.07,13.52,23,,23,28.07
UniCafe Exactum,20.10.2017,fri,464,9,13.52,24,,24,33
UniCafe Exactum,23.10.2017,mon,359,7.06,13.52,30,,30,37.06
UniCafe Exactum,24.10.2017,tue,330,8.05,13.52,17,,17,25.05
UniCafe Exactum,25.10.2017,wed,342,4.08,13.52,23,,23,27.08
UniCafe Exactum,26.10.2017,thu,293,14.05,13.52,26.06,,26.06,40.11
UniCafe Exactum,27.10.2017,fri,232,4.04,13.52,28,,37.06,41.1
UniCafe Exactum,30.10.2017,mon,487,9,13.52,18,,18,27
UniCafe Exactum,31.10.2017,tue,520,11.08,13.52,26,,34,45.08
UniCafe Exactum,01.11.2017,wed,476,7,13.52,21,,21,28
UniCafe Exactum,02.11.2017,thu,561,7.02,13.52,27,,27,34.02
UniCafe Exactum,03.11.2017,fri,474,8,13.52,35,,35,43
UniCafe Exactum,06.11.2017,mon,384,8.06,13.52,27,,43.5,51.56
UniCafe Exactum,07.11.2017,tue,477,10.07,13.52,25,,25,35.07
UniCafe Exactum,08.11.2017,wed,523,10,13.52,22,,30,40
UniCafe Exactum,09.11.2017,thu,475,27,13.52,18,,18,45
UniCafe Exactum,10.11.2017,fri,405,7,13.52,18,,18,25
UniCafe Exactum,13.11.2017,mon,477,10,13.52,29,,37,47
UniCafe Exactum,14.11.2017,tue,490,10,13.52,27,,45,55
UniCafe Exactum,15.11.2017,wed,424,6,13.52,27,,45,51
UniCafe Exactum,16.11.2017,thu,529,11,13.52,18.5,,18.5,29.5
UniCafe Exactum,17.11.2017,fri,371,7,13.52,30,,38,45
UniCafe Exactum,20.11.2017,mon,428,10.03,13.52,25,,33,43.03
UniCafe Exactum,21.11.2017,tue,512,10.06,13.52,32,,32,42.06
UniCafe Exactum,22.11.2017,wed,441,11,13.52,30,,30,41
UniCafe Exactum,23.11.2017,thu,402,10,13.52,16,,28,38
UniCafe Exactum,24.11.2017,fri,435,6,13.52,30,,30,36
UniCafe Exactum,27.11.2017,mon,496,12,13.52,26,,34,46
UniCafe Exactum,28.11.2017,tue,470,9.5,13.52,24,,24,33.5
UniCafe Exactum,29.11.2017,wed,520,12,13.52,20,,20,32
UniCafe Exactum,30.11.2017,thu,462,11,13.52,35,,47,58
UniCafe Exactum,04.12.2017,mon,454,7.5,13.52,23,,31,38.5
UniCafe Exactum,05.12.2017,tue,390,9,13.52,37,,37,46
UniCafe Exactum,07.12.2017,thu,500,9,13.52,24,,24,33
UniCafe Exactum,08.12.2017,fri,439,5.01,13.52,21.5,,40.56,45.57
UniCafe Exactum,11.12.2017,mon,449,6,13.52,20,,27.02,33.02
UniCafe Exactum,12.12.2017,tue,416,7,13.52,18,,18,25
UniCafe Exactum,13.12.2017,wed,445,10,13.52,33,,33,43
UniCafe Exactum,14.12.2017,thu,452,11.1,13.52,45,,45,56.1
UniCafe Exactum,15.12.2017,fri,370,6,13.52,29,,44,50
UniCafe Exactum,18.12.2017,mon,318,5,13.52,18,,24,29
UniCafe Exactum,19.12.2017,tue,332,18,13.52,11,,11,29
UniCafe Exactum,20.12.2017,wed,296,5,13.52,16,,16,21
UniCafe Exactum,21.12.2017,thu,503,7,13.52,22,,22,29
UniCafe Exactum,22.12.2017,fri,367,6,13.52,27,,40,46
UniCafe Exactum,27.12.2017,wed,98,2,13.52,12,,16,18
UniCafe Exactum,28.12.2017,thu,122,1.04,13.52,39,,39,40.04
UniCafe Exactum,29.12.2017,fri,115,1.5,13.52,25,,31,32.5
UniCafe Exactum,02.01.2018,tue,299,4.8,16,0,,22,26.8
UniCafe Exactum,03.01.2018,wed,346,3.6,30,0,,30,33.6
UniCafe Exactum,04.01.2018,thu,388,5.6,19,0,,19,24.6
UniCafe Exactum,05.01.2018,fri,390,3.5,17,0,,30.4,33.9
UniCafe Exactum,08.01.2018,mon,576,8,10,0,,14,22
UniCafe Exactum,09.01.2018,tue,230,11,14.5,0,,14.5,25.5
UniCafe Exactum,10.01.2018,wed,218,5,11,0,,11,16
UniCafe Exactum,11.01.2018,thu,191,5,12,0,,12,17
UniCafe Exactum,12.01.2018,fri,202,1,26,0,,36,37
UniCafe Exactum,15.01.2018,mon,512,28,16,0,,19,47
UniCafe Exactum,16.01.2018,tue,512,10,17,0,,17,27
UniCafe Exactum,17.01.2018,wed,504,11.6,10,0,,10,21.6
UniCafe Exactum,18.01.2018,thu,454,9.3,19.2,0,,19.2,28.5
UniCafe Exactum,19.01.2018,fri,425,5,22,0,,35,40
UniCafe Exactum,22.01.2018,mon,594,7.5,10,0,,13.5,21
UniCafe Exactum,23.01.2018,tue,573,8,13,0,,13,21
UniCafe Exactum,24.01.2018,wed,553,10.9,12.1,0,,12.1,23
UniCafe Exactum,25.01.2018,thu,486,8.7,11.7,0,,11.7,20.4
UniCafe Exactum,26.01.2018,fri,412,3.7,15,0,,28,31.7
UniCafe Exactum,29.01.2018,mon,488,6.7,45,0,,45,51.7
UniCafe Exactum,30.01.2018,tue,516,36.2,14,0,,21,57.2
UniCafe Exactum,31.01.2018,wed,504,5.3,10,0,,10,15.3
UniCafe Exactum,01.02.2018,thu,575,9,8,3.2,,11.2,20.2
UniCafe Exactum,02.02.2018,fri,224,2,2,5.7,,15.7,17.7
UniCafe Exactum,05.02.2018,mon,472,9.7,8,6,,21,30.7
UniCafe Exactum,06.02.2018,tue,556,10.5,11,3,,14,24.5
UniCafe Exactum,07.02.2018,wed,438,10,16.2,14,,30.2,40.2
UniCafe Exactum,08.02.2018,thu,417,8,12.5,8.5,,21,29
UniCafe Exactum,09.02.2018,fri,417,4,6,5.8,,19.8,23.8
UniCafe Exactum,12.02.2018,mon,466,6,8,8.3,,23.3,29.3
UniCafe Exactum,13.02.2018,tue,464,19,13,3.5,chicken leg,16.5,35.5
UniCafe Exactum,14.02.2018,wed,482,9,4,8.2,,12.2,21.2
UniCafe Exactum,15.02.2018,thu,377,4.5,5,9.3,,14.3,18.8
UniCafe Exactum,16.02.2018,fri,358,3.65,23,3.5,,36.5,40.15
UniCafe Exactum,19.02.2018,mon,358,8.5,10,2,,19,27.5
UniCafe Exactum,20.02.2018,tue,440,4.2,10,2,,12,16.2
UniCafe Exactum,21.02.2018,wed,506,4,10,2,,12,16
UniCafe Exactum,22.02.2018,thu,438,4.8,10,2,,12,16.8
UniCafe Exactum,23.02.2018,fri,359,17,6,2,chicken leg,23,40
UniCafe Exactum,26.02.2018,mon,474,8,20,7,,34,42
UniCafe Exactum,27.02.2018,tue,463,5,10,2,,12,17
UniCafe Exactum,28.02.2018,wed,205,4,6,2,,8,12
UniCafe Exactum,01.03.2018,thu,393,6,4,2,,6,12
UniCafe Exactum,02.03.2018,fri,383,6,9,11.2,,32.7,38.7
UniCafe Exactum,05.03.2018,mon,353,7,15,8,,30,37
