date;number_sold
4.1.2016; 94   
5.1.2016; 105   
7.1.2016; 182   
8.1.2016; 200   
11.1.2016; 244   
12.1.2016; 229   
13.1.2016; 493   
14.1.2016; 422   
15.1.2016; 338   
18.1.2016; 431   
19.1.2016; 453   
20.1.2016; 436   
21.1.2016; 426   
22.1.2016; 346   
25.1.2016; 466   
26.1.2016; 463   
27.1.2016; 438   
28.1.2016; 409   
29.1.2016; 392   
1.2.2016; 427   
2.2.2016; 460   
3.2.2016; 412   
4.2.2016; 463   
5.2.2016; 465   
8.2.2016; 426   
9.2.2016; 452   
10.2.2016; 474   
11.2.2016; 423   
12.2.2016; 456   
15.2.2016; 579   
16.2.2016; 445   
17.2.2016; 598   
18.2.2016; 532   
19.2.2016; 480   
22.2.2016; 472   
23.2.2016; 499   
24.2.2016; 483   
25.2.2016; 481   
26.2.2016; 432   
29.2.2016; 540   
1.3.2016; 567   
2.3.2016; 537   
3.3.2016; 541   
4.3.2016; 485   
7.3.2016; 326   
8.3.2016; 324   
9.3.2016; 294   
10.3.2016; 320   
11.3.2016; 267   
14.3.2016; 604   
15.3.2016; 530   
16.3.2016; 557   
17.3.2016; 547   
18.3.2016; 401   
21.3.2016; 495   
22.3.2016; 414   
23.3.2016; 377   
24.3.2016; 199   
29.3.2016; 332   
30.3.2016; 414   
31.3.2016; 508   
1.4.2016; 552   
4.4.2016; 481   
5.4.2016; 448   
6.4.2016; 502   
7.4.2016; 538   
8.4.2016; 384   
11.4.2016; 575   
12.4.2016; 539   
13.4.2016; 580   
14.4.2016; 536   
15.4.2016; 531   
18.4.2016; 504   
19.4.2016; 512   
20.4.2016; 579   
21.4.2016; 567   
22.4.2016; 525   
25.4.2016; 593   
26.4.2016; 553   
27.4.2016; 562   
28.4.2016; 491   
29.4.2016; 468   
2.5.2016; 388   
3.5.2016; 429   
4.5.2016; 361   
6.5.2016; 218   
9.5.2016; 470   
10.5.2016; 460   
11.5.2016; 430   
12.5.2016; 433   
13.5.2016; 349   
16.5.2016; 295   
17.5.2016; 276   
18.5.2016; 305   
19.5.2016; 280   
20.5.2016; 209   
23.5.2016; 335   
24.5.2016; 295   
25.5.2016; 346   
26.5.2016; 316   
27.5.2016; 328   
30.5.2016; 388   
31.5.2016; 285   
1.6.2016; 307   
2.6.2016; 425   
3.6.2016; 284   
6.6.2016; 349   
7.6.2016; 362   
8.6.2016; 312   
9.6.2016; 331   
10.6.2016; 301   
13.6.2016; 328   
14.6.2016; 323   
15.6.2016; 292   
16.6.2016; 279   
17.6.2016; 319   
20.6.2016; 288   
21.6.2016; 286   
22.6.2016; 364   
23.6.2016; 169   
27.6.2016; 169   
28.6.2016; 121   
29.6.2016; 164   
30.6.2016; 149   
1.7.2016; 114   
4.7.2016; 37   
5.7.2016; 30   
6.7.2016; 47   
7.7.2016; 52   
8.7.2016; 30   
11.7.2016; 42   
12.7.2016; 44   
13.7.2016; 41   
14.7.2016; 54   
15.7.2016; 39   
18.7.2016; 36   
19.7.2016; 51   
20.7.2016; 35   
21.7.2016; 52   
22.7.2016; 38   
25.7.2016; 59   
26.7.2016; 46   
27.7.2016; 42   
28.7.2016; 55   
29.7.2016; 30   
1.8.2016; 54   
2.8.2016; 60   
3.8.2016; 70   
4.8.2016; 59   
5.8.2016; 55   
8.8.2016; 75   
9.8.2016; 84   
10.8.2016; 62   
11.8.2016; 83   
12.8.2016; 65   
15.8.2016; 190   
16.8.2016; 185   
17.8.2016; 224   
18.8.2016; 167   
19.8.2016; 150   
22.8.2016; 187   
23.8.2016; 161   
24.8.2016; 173   
25.8.2016; 315   
26.8.2016; 338   
29.8.2016; 341   
30.8.2016; 319   
31.8.2016; 286   
1.9.2016; 292   
2.9.2016; 252   
5.9.2016; 478   
6.9.2016; 593   
7.9.2016; 604   
8.9.2016; 559   
9.9.2016; 496   
12.9.2016; 466   
13.9.2016; 529   
14.9.2016; 606   
15.9.2016; 514   
16.9.2016; 412   
19.9.2016; 627   
20.9.2016; 621   
21.9.2016; 667   
22.9.2016; 623   
23.9.2016; 525   
26.9.2016; 543   
27.9.2016; 548   
28.9.2016; 566   
29.9.2016; 488   
30.9.2016; 421   
3.10.2016; 643   
4.10.2016; 664   
5.10.2016; 643   
6.10.2016; 617   
7.10.2016; 618   
10.10.2016; 508   
11.10.2016; 537   
12.10.2016; 511   
13.10.2016; 551   
14.10.2016; 520   
17.10.2016; 593   
18.10.2016; 576   
19.10.2016; 597   
20.10.2016; 521   
21.10.2016; 389   
24.10.2016; 488   
25.10.2016; 341   
26.10.2016; 360   
27.10.2016; 367   
28.10.2016; 376   
31.10.2016; 546   
1.11.2016; 544   
2.11.2016; 551   
3.11.2016; 584   
4.11.2016; 493   
7.11.2016; 513   
8.11.2016; 558   
9.11.2016; 494   
10.11.2016; 493   
11.11.2016; 435   
14.11.2016; 601   
15.11.2016; 617   
16.11.2016; 576   
17.11.2016; 600   
18.11.2016; 477   
21.11.2016; 614   
22.11.2016; 541   
23.11.2016; 475   
24.11.2016; 481   
25.11.2016; 517   
28.11.2016; 633   
29.11.2016; 668   
30.11.2016; 567   
1.12.2016; 533   
2.12.2016; 511   
5.12.2016; 327   
7.12.2016; 589   
8.12.2016; 541   
9.12.2016; 466   
12.12.2016; 495   
13.12.2016; 517   
14.12.2016; 568   
15.12.2016; 412   
16.12.2016; 415   
19.12.2016; 255   
20.12.2016; 220   
21.12.2016; 194   
22.12.2016; 143   
23.12.2016; 40   
27.12.2016; 14   
28.12.2016; 18   
29.12.2016; 20   
30.12.2016; 32   
2.1.2017; 122   
3.1.2017; 73   
4.1.2017; 97   
5.1.2017; 177   
9.1.2017; 309   
10.1.2017; 351   
11.1.2017; 329   
12.1.2017; 376   
13.1.2017; 340   
16.1.2017; 509   
17.1.2017; 471   
18.1.2017; 553   
19.1.2017; 525   
20.1.2017; 445   
23.1.2017; 600   
24.1.2017; 615   
25.1.2017; 631   
26.1.2017; 627   
27.1.2017; 537   
30.1.2017; 496   
31.1.2017; 542   
1.2.2017; 541   
2.2.2017; 563   
3.2.2017; 470   
6.2.2017; 587   
7.2.2017; 601   
8.2.2017; 604   
9.2.2017; 551   
10.2.2017; 520   
13.2.2017; 458   
14.2.2017; 479   
15.2.2017; 532   
16.2.2017; 494   
17.2.2017; 443   
20.2.2017; 542   
21.2.2017; 541   
22.2.2017; 551   
23.2.2017; 479   
24.2.2017; 472   
27.2.2017; 413   
28.2.2017; 492   
1.3.2017; 441   
2.3.2017; 468   
3.3.2017; 369   
6.3.2017; 429   
7.3.2017; 476   
8.3.2017; 455   
9.3.2017; 465   
10.3.2017; 388   
13.3.2017; 429   
14.3.2017; 502   
15.3.2017; 469   
16.3.2017; 475   
17.3.2017; 416   
20.3.2017; 539   
21.3.2017; 547   
22.3.2017; 529   
23.3.2017; 495   
24.3.2017; 539   
27.3.2017; 533   
28.3.2017; 572   
29.3.2017; 549   
30.3.2017; 532   
31.3.2017; 419   
3.4.2017; 519   
4.4.2017; 585   
5.4.2017; 488   
6.4.2017; 491   
7.4.2017; 440   
10.4.2017; 427   
11.4.2017; 476   
12.4.2017; 467   
13.4.2017; 243   
18.4.2017; 406   
19.4.2017; 409   
20.4.2017; 541   
21.4.2017; 449   
24.4.2017; 459   
25.4.2017; 499   
26.4.2017; 413   
27.4.2017; 502   
28.4.2017; 351   
2.5.2017; 521   
3.5.2017; 520   
4.5.2017; 497   
5.5.2017; 452   
8.5.2017; 372   
9.5.2017; 388   
10.5.2017; 462   
11.5.2017; 391   
12.5.2017; 314   
15.5.2017; 393   
16.5.2017; 417   
17.5.2017; 417   
18.5.2017; 431   
19.5.2017; 332   
22.5.2017; 382   
23.5.2017; 304   
24.5.2017; 383   
26.5.2017; 187   
29.5.2017; 387   
30.5.2017; 389   
31.5.2017; 434   
1.6.2017; 400   
2.6.2017; 442   
5.6.2017; 263   
6.6.2017; 268   
7.6.2017; 244   
8.6.2017; 234   
9.6.2017; 234   
12.6.2017; 373   
13.6.2017; 291   
14.6.2017; 318   
15.6.2017; 194   
16.6.2017; 187   
19.6.2017; 296   
20.6.2017; 269   
21.6.2017; 306   
22.6.2017; 149   
26.6.2017; 173   
27.6.2017; 177   
28.6.2017; 158   
29.6.2017; 157   
30.6.2017; 126   
3.7.2017; 82   
4.7.2017; 53   
5.7.2017; 79   
6.7.2017; 71   
7.7.2017; 70   
10.7.2017; 67   
11.7.2017; 44   
12.7.2017; 50   
13.7.2017; 38   
14.7.2017; 54   
17.7.2017; 44   
18.7.2017; 28   
19.7.2017; 43   
20.7.2017; 27   
21.7.2017; 45   
24.7.2017; 35   
25.7.2017; 27   
26.7.2017; 42   
27.7.2017; 29   
28.7.2017; 36   
31.7.2017; 52   
1.8.2017; 57   
2.8.2017; 47   
3.8.2017; 77   
4.8.2017; 45   
7.8.2017; 148   
8.8.2017; 119   
9.8.2017; 71   
10.8.2017; 60   
11.8.2017; 97   
14.8.2017; 110   
15.8.2017; 142   
16.8.2017; 132   
17.8.2017; 151   
18.8.2017; 122   
21.8.2017; 306   
22.8.2017; 405   
23.8.2017; 339   
24.8.2017; 347   
25.8.2017; 220   
28.8.2017; 327   
29.8.2017; 352   
30.8.2017; 318   
31.8.2017; 354   
1.9.2017; 209   
4.9.2017; 396   
5.9.2017; 507   
6.9.2017; 408   
7.9.2017; 471   
8.9.2017; 387   
11.9.2017; 567   
12.9.2017; 625   
13.9.2017; 662   
14.9.2017; 580   
15.9.2017; 464   
18.9.2017; 422   
19.9.2017; 497   
20.9.2017; 435   
21.9.2017; 461   
22.9.2017; 379   
25.9.2017; 543   
26.9.2017; 636   
27.9.2017; 572   
28.9.2017; 587   
29.9.2017; 437   
2.10.2017; 454   
3.10.2017; 440   
4.10.2017; 424   
5.10.2017; 453   
6.10.2017; 475   
9.10.2017; 563   
10.10.2017; 569   
11.10.2017; 475   
12.10.2017; 584   
13.10.2017; 421   
14.10.2017; 82   
16.10.2017; 438   
17.10.2017; 440   
18.10.2017; 420   
19.10.2017; 416   
20.10.2017; 386   
23.10.2017; 486   
24.10.2017; 428   
25.10.2017; 497   
26.10.2017; 410   
27.10.2017; 351   
30.10.2017; 450   
31.10.2017; 502   
1.11.2017; 533   
2.11.2017; 508   
3.11.2017; 400   
6.11.2017; 544   
7.11.2017; 624   
8.11.2017; 638   
9.11.2017; 632   
10.11.2017; 510   
13.11.2017; 553   
14.11.2017; 632   
15.11.2017; 606   
16.11.2017; 557   
17.11.2017; 452   
20.11.2017; 549   
21.11.2017; 567   
22.11.2017; 609   
23.11.2017; 599   
24.11.2017; 489   
27.11.2017; 564   
28.11.2017; 620   
29.11.2017; 538   
30.11.2017; 591   
1.12.2017; 504   
4.12.2017; 538   
5.12.2017; 480   
7.12.2017; 541   
8.12.2017; 544   
11.12.2017; 407   
12.12.2017; 541   
13.12.2017; 521   
14.12.2017; 557   
15.12.2017; 425   
18.12.2017; 423   
19.12.2017; 386   
20.12.2017; 394   
21.12.2017; 191   
22.12.2017; 74   
27.12.2017; 19   
