Restaurant,Date,Name,Number sold
UniCafe Chemicum,4.1.2016,Broileria Molekastikeessa,45
UniCafe Chemicum,4.1.2016,Kasvispyttipannua paist. tofua,251
UniCafe Chemicum,4.1.2016,Kirjolohta Chipotle,87
UniCafe Chemicum,5.1.2016,Broileria Molekastikeessa,230
UniCafe Chemicum,5.1.2016,Kasviskorma,1
UniCafe Chemicum,5.1.2016,Kasvispyttipannua paist. tofua,2
UniCafe Chemicum,5.1.2016,Kirjolohta Chipotle,132
UniCafe Chemicum,5.1.2016,"Paistettua kirjolohta, wasabim",6
UniCafe Chemicum,5.1.2016,Smetanainen broileri-kasvisvuo,11
UniCafe Chemicum,7.1.2016,Lohibolognesea,373
UniCafe Chemicum,7.1.2016,Papuja ja pähkinöitä Kung Po,79
UniCafe Chemicum,7.1.2016,Teriyakibroleria,1
UniCafe Chemicum,8.1.2016,Broilerkastiketta Tikka Masala,148
UniCafe Chemicum,8.1.2016,"Falafel-pyörykät, tzaziki jogu",148
UniCafe Chemicum,8.1.2016,Kebab-kasviskastiketta,158
UniCafe Chemicum,11.1.2016,"Broilerinfilee, Satay-kastiket",111
UniCafe Chemicum,11.1.2016,Broilerkastiketta Tikka Masala,2
UniCafe Chemicum,11.1.2016,"Falafel-pyörykät, tzaziki jogu",3
UniCafe Chemicum,11.1.2016,Kebab-kasviskastiketta,26
UniCafe Chemicum,11.1.2016,Papuja ja pähkinöitä Kung Po,119
UniCafe Chemicum,11.1.2016,Parmesan-juustosalaattia,17
UniCafe Chemicum,11.1.2016,Smetanainen broileri-kasvisvuo,1
UniCafe Chemicum,11.1.2016,"Uunimakkaraa,sinappikastiketta",281
UniCafe Chemicum,12.1.2016,Broileri-waldorfinsalaatti,16
UniCafe Chemicum,12.1.2016,"Buffet, lounas",1
UniCafe Chemicum,12.1.2016,Intialaista linssikeittoa,21
UniCafe Chemicum,12.1.2016,Kapriskirjolohta,104
UniCafe Chemicum,12.1.2016,Nasi gorreng tofu,80
UniCafe Chemicum,12.1.2016,Naudanlihaa ja kasviksia,203
UniCafe Chemicum,12.1.2016,Papuja ja pähkinöitä Kung Po,26
UniCafe Chemicum,12.1.2016,"Uunimakkaraa,sinappikastiketta",69
UniCafe Chemicum,13.1.2016,Chili-tomaattisilakoita,100
UniCafe Chemicum,13.1.2016,Intialaista linssikeittoa,3
UniCafe Chemicum,13.1.2016,Kapriskirjolohta,17
UniCafe Chemicum,13.1.2016,"Kikhernenugetit,soijajogurttik",130
UniCafe Chemicum,13.1.2016,Kukkakaalisosekeittoa,4
UniCafe Chemicum,13.1.2016,Nasi gorreng tofu,20
UniCafe Chemicum,13.1.2016,Naudanlihaa ja kasviksia,28
UniCafe Chemicum,13.1.2016,Tandoori-broileriwokki,195
UniCafe Chemicum,13.1.2016,Vuohenjuustosalaattia,17
UniCafe Chemicum,14.1.2016,"Buffet, lounas",1
UniCafe Chemicum,14.1.2016,Chili-tomaattisilakoita,46
UniCafe Chemicum,14.1.2016,"Hietakampelafilee, remoulade",93
UniCafe Chemicum,14.1.2016,Jauheliha-juureskastiketta,110
UniCafe Chemicum,14.1.2016,"Juurespihvit,ruohosipulidippi",67
UniCafe Chemicum,14.1.2016,Kasvishernekeittoa luomu herne,5
UniCafe Chemicum,14.1.2016,"Kikhernenugetit,soijajogurttik",7
UniCafe Chemicum,14.1.2016,Luomuhernekeittoa ja pannukak,212
UniCafe Chemicum,14.1.2016,Luomukasvishernekeitto ja pann,23
UniCafe Chemicum,14.1.2016,Makrillisalaattia,16
UniCafe Chemicum,14.1.2016,Tandoori-broileriwokki,7
UniCafe Chemicum,15.1.2016,Broileri-caesarsalaatti,18
UniCafe Chemicum,15.1.2016,Jauheliha-juureskastiketta,30
UniCafe Chemicum,15.1.2016,"Juurespihvit,ruohosipulidippi",17
UniCafe Chemicum,15.1.2016,Juuressosekeittoa,10
UniCafe Chemicum,15.1.2016,"Kikhernenugetit,soijajogurttik",25
UniCafe Chemicum,15.1.2016,"Lihapyöryköitä, ruskeakastiket",240
UniCafe Chemicum,15.1.2016,"Lohi-porkkanapihvit, kurkkukas",130
UniCafe Chemicum,15.1.2016,Nasi gorreng tofu,4
UniCafe Chemicum,15.1.2016,Tofua ja pinaattia Palak P.,74
UniCafe Chemicum,18.1.2016,Broilerinuggetit,456
UniCafe Chemicum,18.1.2016,"Jauhelihapihvit, sipulikastike",30
UniCafe Chemicum,18.1.2016,Juustosalaattia,19
UniCafe Chemicum,18.1.2016,"Lohi-porkkanapihvit, kurkkukas",30
UniCafe Chemicum,18.1.2016,Savulohi-tuorejuustokastiketta,207
UniCafe Chemicum,18.1.2016,Tofua ja pinaattia Palak P.,6
UniCafe Chemicum,18.1.2016,Tofu-kasviscurrya,147
UniCafe Chemicum,19.1.2016,"Broilerinuggetit, makeaa chili",49
UniCafe Chemicum,19.1.2016,Chili-bataattikeittoa,60
UniCafe Chemicum,19.1.2016,Itämaista kikhernekastiketta,155
UniCafe Chemicum,19.1.2016,Kananpoikaa viinissä,385
UniCafe Chemicum,19.1.2016,Paahtopaistisalaatti,13
UniCafe Chemicum,19.1.2016,Savulohi-tuorejuustokastiketta,77
UniCafe Chemicum,19.1.2016,Tofu-kasviscurrya,51
UniCafe Chemicum,19.1.2016,"Wasabi-seesamlohta,limedip",165
UniCafe Chemicum,20.1.2016,"Buffet, lounas",1
UniCafe Chemicum,20.1.2016,Itämaista kikhernekastiketta,1
UniCafe Chemicum,20.1.2016,Kananpoikaa viinissä,34
UniCafe Chemicum,20.1.2016,Kasvis-papukroketteja,245
UniCafe Chemicum,20.1.2016,Kreikkalaista broilerkastike,263
